"ruleId","type","fieldId","description","noticeId (null means all)","condition","expression","target","severity"
"BR-BT-01351-0033","forbidden","BT-1351-Procedure","The BT-1351 Procedure Accelerated Justification is not allowed at Procedure level for a notice of type Voluntary ex-ante transparency notice – sectoral directive.","26","Always","NULL","all","ERROR"
"BR-BT-01351-0034","forbidden","BT-1351-Procedure","The BT-1351 Procedure Accelerated Justification is not allowed at Procedure level for a notice of type Voluntary ex-ante transparency notice – defence directive.","27","Always","NULL","all","ERROR"
"BR-BT-01351-0035","forbidden","BT-1351-Procedure","The BT-1351 Procedure Accelerated Justification is not allowed at Procedure level for a notice of type Voluntary ex-ante transparency notice – concession directive.","28","Always","NULL","all","ERROR"
"BR-BT-01351-0039","forbidden","BT-1351-Procedure","The BT-1351 Procedure Accelerated Justification is not allowed at Procedure level for a notice of type Concession award notice – concession directive, standard regime.","32","Always","NULL","all","ERROR"
"BR-BT-01351-0041","forbidden","BT-1351-Procedure","The BT-1351 Procedure Accelerated Justification is not allowed at Procedure level for a notice of type .","T02","Always","NULL","all","ERROR"
"BR-BT-01351-0042","forbidden","BT-1351-Procedure","The BT-1351 Procedure Accelerated Justification is not allowed at Procedure level for a notice of type Contract award notice – general directive, light regime.","33","Always","NULL","all","ERROR"
"BR-BT-01351-0043","forbidden","BT-1351-Procedure","The BT-1351 Procedure Accelerated Justification is not allowed at Procedure level for a notice of type Contract award notice – sectoral directive, light regime.","34","Always","NULL","all","ERROR"
"BR-BT-01351-0044","forbidden","BT-1351-Procedure","The BT-1351 Procedure Accelerated Justification is not allowed at Procedure level for a notice of type Concession award notice – concessions directive, light regime.","35","Always","NULL","all","ERROR"
"BR-BT-01351-0045","forbidden","BT-1351-Procedure","The BT-1351 Procedure Accelerated Justification is not allowed at Procedure level for a notice of type Design contest result notice – general directive, design.","36","Always","NULL","all","ERROR"
"BR-BT-01351-0046","forbidden","BT-1351-Procedure","The BT-1351 Procedure Accelerated Justification is not allowed at Procedure level for a notice of type Design contest result notice – sectoral directive, design.","37","Always","NULL","all","ERROR"
"BR-BT-01351-0047","forbidden","BT-1351-Procedure","The BT-1351 Procedure Accelerated Justification is not allowed at Procedure level for a notice of type Contract modification notice – general directive.","38","Always","NULL","all","ERROR"
"BR-BT-01351-0048","forbidden","BT-1351-Procedure","The BT-1351 Procedure Accelerated Justification is not allowed at Procedure level for a notice of type Contract modification notice – sectoral directive.","39","Always","NULL","all","ERROR"
"BR-BT-01351-0049","forbidden","BT-1351-Procedure","The BT-1351 Procedure Accelerated Justification is not allowed at Procedure level for a notice of type Contract modification notice – concessions directive.","40","Always","NULL","all","ERROR"
"BR-BT-01375-0001","forbidden","BT-1375-Procedure","The BT-1375 Group Lot Identifier is not allowed at Procedure level for a notice of type .","X01","Always","NULL","all","ERROR"
"BR-BT-01375-0002","forbidden","BT-1375-Procedure","The BT-1375 Group Lot Identifier is not allowed at Procedure level for a notice of type .","X02","Always","NULL","all","ERROR"
"BR-BT-01375-0004","forbidden","BT-1375-Procedure","The BT-1375 Group Lot Identifier is not allowed at Procedure level for a notice of type Notice of the publication of a prior information notice on a buyer profile - general directive.","1","Always","NULL","all","ERROR"
"BR-BT-01375-0005","forbidden","BT-1375-Procedure","The BT-1375 Group Lot Identifier is not allowed at Procedure level for a notice of type Notice of the publication of a periodic indicative notice on a buyer profile - sectoral directive.","2","Always","NULL","all","ERROR"
"BR-BT-01375-0006","forbidden","BT-1375-Procedure","The BT-1375 Group Lot Identifier is not allowed at Procedure level for a notice of type Notice of the publication of a prior information notice on a buyer profile - defence directive.","3","Always","NULL","all","ERROR"
"BR-BT-01375-0007","forbidden","BT-1375-Procedure","The BT-1375 Group Lot Identifier is not allowed at Procedure level for a notice of type Prior information notice used only for information – general directive.","4","Always","NULL","all","ERROR"
"BR-BT-01375-0008","forbidden","BT-1375-Procedure","The BT-1375 Group Lot Identifier is not allowed at Procedure level for a notice of type Periodic indicative notice used only for information – sectoral directive.","5","Always","NULL","all","ERROR"
